Date;Time;State;Power;Temp
2022-03-16;14:26:22;ON;114.22;42
2022-03-16;14:27:22;ON;114.22;42
2022-03-16;14:28:22;ON;114.22;42
2022-03-16;14:29:22;ON;114.22;42
2022-03-16;14:30:22;ON;114.22;42
2022-03-16;14:31:22;ON;114.22;42
2022-03-16;14:32:22;ON;114.22;42
2022-03-16;14:33:22;ON;114.22;42
2022-03-16;14:34:22;ON;114.22;42
2022-03-16;14:35:22;ON;114.22;42
2022-03-16;14:36:22;ON;114.22;42
2022-03-16;14:37:22;ON;114.22;42
2022-03-16;14:38:22;ON;114.22;42
2022-03-16;14:39:22;ON;114.22;42
2022-03-16;14:40:22;ON;114.22;42
2022-03-16;14:41:22;ON;114.22;42
2022-03-16;14:42:22;ON;114.22;42
2022-03-16;14:43:22;ON;114.22;42
2022-03-16;14:44:22;ON;114.22;42
2022-03-16;14:45:22;ON;114.22;42
2022-03-16;14:46:22;ON;114.22;42
2022-03-16;14:47:22;ON;114.22;42
2022-03-16;14:48:22;ON;114.22;42
2022-03-16;14:49:22;ON;114.22;42
2022-03-16;14:50:22;ON;114.22;42
2022-03-16;14:51:22;ON;114.22;42
2022-03-16;14:52:22;ON;114.22;42
2022-03-16;14:53:22;ON;114.22;42
2022-03-16;14:54:22;ON;114.22;42
2022-03-16;14:55:22;ON;114.22;42
2022-03-16;14:56:22;ON;114.22;42
2022-03-16;14:57:22;ON;114.22;42
2022-03-16;14:58:22;ON;114.22;42
2022-03-16;14:59:22;ON;114.22;42
2022-03-16;15:00:22;ON;114.22;42
2022-03-16;15:01:22;ON;114.22;42
2022-03-16;15:02:22;ON;114.22;42
2022-03-16;15:03:22;ON;114.22;42
2022-03-16;15:04:22;ON;114.22;42
2022-03-16;15:05:22;ON;114.22;42
2022-03-16;15:06:22;ON;114.22;42
2022-03-16;15:07:22;ON;114.22;42
2022-03-16;15:08:22;ON;114.22;42
2022-03-16;15:09:22;ON;114.22;42
2022-03-16;15:10:22;ON;114.22;42
2022-03-16;15:11:22;ON;114.22;42
2022-03-16;15:12:22;ON;114.22;42
2022-03-16;15:13:22;ON;114.22;42
2022-03-16;15:14:22;ON;114.22;42
2022-03-16;15:15:22;ON;114.22;42
2022-03-16;15:16:22;ON;114.22;42
2022-03-16;15:17:22;ON;114.22;42
2022-03-16;15:18:22;ON;114.22;42
2022-03-16;15:19:22;ON;114.22;42
2022-03-16;15:20:22;ON;114.22;42
2022-03-16;15:21:22;ON;114.22;42
2022-03-16;15:22:22;ON;114.22;42
2022-03-16;15:23:22;ON;114.22;42
